planet,miles,radius,color
Sun,0,432500,#FFBC41
Mercury,36000000,1500,#CCA37C
Venus,67000000,3760,#FFD567
Earth,93000000,3960,#9DDBFF
Mars,228000000,2111,#EB5520
Jupiter,484000000,44000,#E5572F
Saturn,891000000,38000,#FFEB83
Uranus,1790000000,16000,#9EE3F2
Neptune,2800000000,15000,#76ADFA
